"Jahr","Raumbezug","Ausprägung","Zuzuege"
2005,"21 Pasing - Obermenzing","deutsch",5502
2005,"21 Pasing - Obermenzing","nichtdeutsch",3368
2005,"22 Aubing - Lochhausen - Langwied","deutsch",2629
2005,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",1664
2005,"23 Allach - Untermenzing","deutsch",2240
2005,"23 Allach - Untermenzing","nichtdeutsch",1276
2005,"24 Feldmoching - Hasenbergl","deutsch",3603
2005,"24 Feldmoching - Hasenbergl","nichtdeutsch",3544
2005,"25 Laim","deutsch",4025
2005,"25 Laim","nichtdeutsch",2528
2006,"01 Altstadt - Lehel","deutsch",2165
2006,"01 Altstadt - Lehel","nichtdeutsch",1173
2006,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",5733
2006,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",4187
2006,"03 Maxvorstadt","deutsch",6387
2006,"03 Maxvorstadt","nichtdeutsch",3644
2006,"04 Schwabing - West","deutsch",6969
2006,"04 Schwabing - West","nichtdeutsch",3701
2006,"05 Au - Haidhausen","deutsch",6209
2006,"05 Au - Haidhausen","nichtdeutsch",3161
2006,"06 Sendling","deutsch",3738
2006,"06 Sendling","nichtdeutsch",2296
2006,"07 Sendling - Westpark","deutsch",4346
2006,"07 Sendling - Westpark","nichtdeutsch",2629
2006,"08 Schwanthalerhöhe","deutsch",2477
2006,"08 Schwanthalerhöhe","nichtdeutsch",1946
2006,"09 Neuhausen - Nymphenburg","deutsch",8476
2006,"09 Neuhausen - Nymphenburg","nichtdeutsch",4988
2006,"10 Moosach","deutsch",3321
2006,"10 Moosach","nichtdeutsch",2753
2006,"11 Milbertshofen - Am Hart","deutsch",5320
2006,"11 Milbertshofen - Am Hart","nichtdeutsch",6296
2006,"12 Schwabing - Freimann","deutsch",6129
2006,"12 Schwabing - Freimann","nichtdeutsch",4823
2006,"13 Bogenhausen","deutsch",6406
2006,"13 Bogenhausen","nichtdeutsch",3424
2006,"14 Berg am Laim","deutsch",3077
2006,"14 Berg am Laim","nichtdeutsch",2172
2006,"15 Trudering - Riem","deutsch",5599
2006,"15 Trudering - Riem","nichtdeutsch",2799
2006,"16 Ramersdorf - Perlach","deutsch",6720
2006,"16 Ramersdorf - Perlach","nichtdeutsch",5700
2006,"17 Obergiesing - Fasangarten","deutsch",4944
2006,"17 Obergiesing - Fasangarten","nichtdeutsch",3964
2006,"18 Untergiesing - Harlaching","deutsch",5209
2006,"18 Untergiesing - Harlaching","nichtdeutsch",2541
2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",7084
2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",4861
2006,"20 Hadern","deutsch",3259
2006,"20 Hadern","nichtdeutsch",2084
2006,"21 Pasing - Obermenzing","deutsch",5295
2006,"21 Pasing - Obermenzing","nichtdeutsch",2760
2006,"22 Aubing - Lochhausen - Langwied","deutsch",2784
2006,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",1510
2006,"23 Allach - Untermenzing","deutsch",2239
2006,"23 Allach - Untermenzing","nichtdeutsch",1176
2006,"24 Feldmoching - Hasenbergl","deutsch",3828
2006,"24 Feldmoching - Hasenbergl","nichtdeutsch",3558
2006,"25 Laim","deutsch",4439
2006,"25 Laim","nichtdeutsch",2393
2007,"01 Altstadt - Lehel","deutsch",2231
2007,"01 Altstadt - Lehel","nichtdeutsch",1307
2007,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",5949
2007,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",4398
2007,"03 Maxvorstadt","deutsch",6612
2007,"03 Maxvorstadt","nichtdeutsch",3501
2007,"04 Schwabing - West","deutsch",7233
2007,"04 Schwabing - West","nichtdeutsch",3649
2007,"05 Au - Haidhausen","deutsch",6473
2007,"05 Au - Haidhausen","nichtdeutsch",2874
2007,"06 Sendling","deutsch",3994
2007,"06 Sendling","nichtdeutsch",2266
2007,"07 Sendling - Westpark","deutsch",4817
2007,"07 Sendling - Westpark","nichtdeutsch",2551
2007,"08 Schwanthalerhöhe","deutsch",2768
2007,"08 Schwanthalerhöhe","nichtdeutsch",2104
2007,"09 Neuhausen - Nymphenburg","deutsch",8980
2007,"09 Neuhausen - Nymphenburg","nichtdeutsch",4891
2007,"10 Moosach","deutsch",3695
2007,"10 Moosach","nichtdeutsch",2916
2007,"11 Milbertshofen - Am Hart","deutsch",5508
2007,"11 Milbertshofen - Am Hart","nichtdeutsch",6501
2007,"12 Schwabing - Freimann","deutsch",6657
2007,"12 Schwabing - Freimann","nichtdeutsch",4677
2007,"13 Bogenhausen","deutsch",6514
2007,"13 Bogenhausen","nichtdeutsch",3433
2007,"14 Berg am Laim","deutsch",3491
2007,"14 Berg am Laim","nichtdeutsch",2534
2007,"15 Trudering - Riem","deutsch",5921
2007,"15 Trudering - Riem","nichtdeutsch",2778
2007,"16 Ramersdorf - Perlach","deutsch",7157
2007,"16 Ramersdorf - Perlach","nichtdeutsch",5778
2007,"17 Obergiesing - Fasangarten","deutsch",4865
2007,"17 Obergiesing - Fasangarten","nichtdeutsch",3765
2007,"18 Untergiesing - Harlaching","deutsch",5615
2007,"18 Untergiesing - Harlaching","nichtdeutsch",2675
2007,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",7580
2007,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",5276
2007,"20 Hadern","deutsch",3530
2007,"20 Hadern","nichtdeutsch",2459
2007,"21 Pasing - Obermenzing","deutsch",5857
2007,"21 Pasing - Obermenzing","nichtdeutsch",2991
2007,"22 Aubing - Lochhausen - Langwied","deutsch",2796
2007,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",1423
2007,"23 Allach - Untermenzing","deutsch",2283
2007,"23 Allach - Untermenzing","nichtdeutsch",1233
2007,"24 Feldmoching - Hasenbergl","deutsch",3936
2007,"24 Feldmoching - Hasenbergl","nichtdeutsch",3687
2007,"25 Laim","deutsch",4463
2007,"25 Laim","nichtdeutsch",2612
2008,"01 Altstadt - Lehel","deutsch",2308
2008,"01 Altstadt - Lehel","nichtdeutsch",1377
2008,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",6245
2008,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",4766
2008,"03 Maxvorstadt","deutsch",6794
2008,"03 Maxvorstadt","nichtdeutsch",3353
2008,"04 Schwabing - West","deutsch",7377
2008,"04 Schwabing - West","nichtdeutsch",3496
2008,"05 Au - Haidhausen","deutsch",6412
2008,"05 Au - Haidhausen","nichtdeutsch",3085
2008,"06 Sendling","deutsch",3942
2008,"06 Sendling","nichtdeutsch",2392
2008,"07 Sendling - Westpark","deutsch",4947
2008,"07 Sendling - Westpark","nichtdeutsch",2596
2008,"08 Schwanthalerhöhe","deutsch",3134
2008,"08 Schwanthalerhöhe","nichtdeutsch",2534
2008,"09 Neuhausen - Nymphenburg","deutsch",8897
2008,"09 Neuhausen - Nymphenburg","nichtdeutsch",5197
2008,"10 Moosach","deutsch",3642
2008,"10 Moosach","nichtdeutsch",2908
2008,"11 Milbertshofen - Am Hart","deutsch",5642
2008,"11 Milbertshofen - Am Hart","nichtdeutsch",6068
2008,"12 Schwabing - Freimann","deutsch",6748
2008,"12 Schwabing - Freimann","nichtdeutsch",4828
2008,"13 Bogenhausen","deutsch",6436
2008,"13 Bogenhausen","nichtdeutsch",3352
2008,"14 Berg am Laim","deutsch",3244
2008,"14 Berg am Laim","nichtdeutsch",2489
2008,"15 Trudering - Riem","deutsch",6075
2008,"15 Trudering - Riem","nichtdeutsch",2955
2008,"16 Ramersdorf - Perlach","deutsch",7248
2008,"16 Ramersdorf - Perlach","nichtdeutsch",5973
2008,"17 Obergiesing - Fasangarten","deutsch",4960
2008,"17 Obergiesing - Fasangarten","nichtdeutsch",3902
2008,"18 Untergiesing - Harlaching","deutsch",5485
2008,"18 Untergiesing - Harlaching","nichtdeutsch",2628
2008,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",7289
2008,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",4944
2008,"20 Hadern","deutsch",3615
2008,"20 Hadern","nichtdeutsch",2376
2008,"21 Pasing - Obermenzing","deutsch",5704
2008,"21 Pasing - Obermenzing","nichtdeutsch",2791
2008,"22 Aubing - Lochhausen - Langwied","deutsch",2888
2008,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",1556
2008,"23 Allach - Untermenzing","deutsch",2609
2008,"23 Allach - Untermenzing","nichtdeutsch",1130
2008,"24 Feldmoching - Hasenbergl","deutsch",3691
2008,"24 Feldmoching - Hasenbergl","nichtdeutsch",3452
2008,"25 Laim","deutsch",4969
2008,"25 Laim","nichtdeutsch",2583
2009,"01 Altstadt - Lehel","deutsch",2343
2009,"01 Altstadt - Lehel","nichtdeutsch",1295
2009,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",6177
2009,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",4923
2009,"03 Maxvorstadt","deutsch",6570
2009,"03 Maxvorstadt","nichtdeutsch",3921
2009,"04 Schwabing - West","deutsch",6743
2009,"04 Schwabing - West","nichtdeutsch",3637
2009,"05 Au - Haidhausen","deutsch",6237
2009,"05 Au - Haidhausen","nichtdeutsch",3187
2009,"06 Sendling","deutsch",3983
2009,"06 Sendling","nichtdeutsch",2434
2009,"07 Sendling - Westpark","deutsch",4768
2009,"07 Sendling - Westpark","nichtdeutsch",2730
2009,"08 Schwanthalerhöhe","deutsch",2945
2009,"08 Schwanthalerhöhe","nichtdeutsch",2247
2009,"09 Neuhausen - Nymphenburg","deutsch",9909
2009,"09 Neuhausen - Nymphenburg","nichtdeutsch",5548
2009,"10 Moosach","deutsch",3693
2009,"10 Moosach","nichtdeutsch",3734
2009,"11 Milbertshofen - Am Hart","deutsch",5491
2009,"11 Milbertshofen - Am Hart","nichtdeutsch",6225
2009,"12 Schwabing - Freimann","deutsch",6491
2009,"12 Schwabing - Freimann","nichtdeutsch",4752
2009,"13 Bogenhausen","deutsch",6579
2009,"13 Bogenhausen","nichtdeutsch",3569
2009,"14 Berg am Laim","deutsch",3282
2009,"14 Berg am Laim","nichtdeutsch",2397
2009,"15 Trudering - Riem","deutsch",5736
2009,"15 Trudering - Riem","nichtdeutsch",3073
2009,"16 Ramersdorf - Perlach","deutsch",6905
2009,"16 Ramersdorf - Perlach","nichtdeutsch",5784
2009,"17 Obergiesing - Fasangarten","deutsch",4755
2009,"17 Obergiesing - Fasangarten","nichtdeutsch",4468
2009,"18 Untergiesing - Harlaching","deutsch",5339
2009,"18 Untergiesing - Harlaching","nichtdeutsch",2673
2009,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",7403
2009,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",5751
2009,"20 Hadern","deutsch",3802
2009,"20 Hadern","nichtdeutsch",2492
2009,"21 Pasing - Obermenzing","deutsch",5745
2009,"21 Pasing - Obermenzing","nichtdeutsch",2967
2009,"22 Aubing - Lochhausen - Langwied","deutsch",2809
2009,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",1554
2009,"23 Allach - Untermenzing","deutsch",2365
2009,"23 Allach - Untermenzing","nichtdeutsch",1199
2009,"24 Feldmoching - Hasenbergl","deutsch",3529
2009,"24 Feldmoching - Hasenbergl","nichtdeutsch",3281
2009,"25 Laim","deutsch",4787
2009,"25 Laim","nichtdeutsch",2652
2010,"01 Altstadt - Lehel","deutsch",2382
2010,"01 Altstadt - Lehel","nichtdeutsch",1366
