"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","id","Basiswert","Name.Basiswert"
"Mobilitätsziffer","deutsch",2024,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",169.5,"3",2843,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",169.5,"4",3214,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",169.5,"5",70781.8,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"20 Hadern",142.8,"1",904,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"20 Hadern",142.8,"2",1415,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"20 Hadern",142.8,"3",1336,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"20 Hadern",142.8,"4",1379,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"20 Hadern",142.8,"5",35263.3,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"21 Pasing - Obermenzing",158.6,"1",1830,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"21 Pasing - Obermenzing",158.6,"2",2766,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"21 Pasing - Obermenzing",158.6,"3",2239,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"21 Pasing - Obermenzing",158.6,"4",2661,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"21 Pasing - Obermenzing",158.6,"5",59879.8,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"22 Aubing - Lochhausen - Langwied",163.7,"1",1183,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"22 Aubing - Lochhausen - Langwied",163.7,"2",2461,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"22 Aubing - Lochhausen - Langwied",163.7,"3",1456,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"22 Aubing - Lochhausen - Langwied",163.7,"4",1340,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"22 Aubing - Lochhausen - Langwied",163.7,"5",39350.8,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"23 Allach - Untermenzing",154,"1",712,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"23 Allach - Untermenzing",154,"2",1249,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"23 Allach - Untermenzing",154,"3",950,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"23 Allach - Untermenzing",154,"4",1161,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"23 Allach - Untermenzing",154,"5",26445.6,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"24 Feldmoching - Hasenbergl",141.7,"1",1012,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"24 Feldmoching - Hasenbergl",141.7,"2",1782,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"24 Feldmoching - Hasenbergl",141.7,"3",1375,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"24 Feldmoching - Hasenbergl",141.7,"4",1670,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"24 Feldmoching - Hasenbergl",141.7,"5",41212.1,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"25 Laim",181.9,"1",1396,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"25 Laim",181.9,"2",1951,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"25 Laim",181.9,"3",1688,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"25 Laim",181.9,"4",2065,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"25 Laim",181.9,"5",39039,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"Stadt München",180.6,"1",39710,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"Stadt München",180.6,"2",56716,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"Stadt München",180.6,"3",47371,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"Stadt München",180.6,"4",56716,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"Stadt München",180.6,"5",1110069.2,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"01 Altstadt - Lehel",231.2,"1",844,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"01 Altstadt - Lehel",231.2,"2",985,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"01 Altstadt - Lehel",231.2,"3",723,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"01 Altstadt - Lehel",231.2,"4",1035,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"01 Altstadt - Lehel",231.2,"5",15515.9,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"02 Ludwigsvorstadt - Isarvorstadt",245,"1",1978,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"02 Ludwigsvorstadt - Isarvorstadt",245,"2",2285,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"02 Ludwigsvorstadt - Isarvorstadt",245,"3",1924,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"02 Ludwigsvorstadt - Isarvorstadt",245,"4",2802,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"02 Ludwigsvorstadt - Isarvorstadt",245,"5",36686.5,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"03 Maxvorstadt",274.2,"1",2461,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"03 Maxvorstadt",274.2,"2",2576,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"03 Maxvorstadt",274.2,"3",2247,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"03 Maxvorstadt",274.2,"4",3176,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"03 Maxvorstadt",274.2,"5",38152.2,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"04 Schwabing - West",212.3,"1",2292,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"04 Schwabing - West",212.3,"2",2988,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"04 Schwabing - West",212.3,"3",2437,"außerstädtisch Weggezogene (deutsch)"
