"Anfangsbezirk_Nr","Anfangsbezirk","innerstaedtisch","Jahr","außerstaedtisch","insgesamt"
"8","Schwanthalerhöhe",2451,2016,2156,4607
"9","Neuhausen - Nymphenburg",7359,2016,6313,13672
"10","Moosach",3880,2016,3496,7376
"11","Milbertshofen - Am Hart",6424,2016,6090,12514
"12","Schwabing - Freimann",7495,2016,9956,17451
"13","Bogenhausen",6123,2016,5264,11387
"14","Berg am Laim",2747,2016,2666,5413
"15","Trudering - Riem",3693,2016,4070,7763
"16","Ramersdorf - Perlach",6152,2016,6062,12214
"17","Obergiesing - Fasangarten",3833,2016,3926,7759
"18","Untergiesing - Harlaching",4469,2016,3390,7859
"19","Thalkirchen",6070,2016,5977,12047
"20","Hadern",3258,2016,3049,6307
"21","Pasing - Obermenzing",4428,2016,5232,9660
"22","Aubing",2674,2016,2989,5663
"23","Allach - Untermenzing",1842,2016,2170,4012
"24","Feldmoching - Hasenbergl",3558,2016,4402,7960
"25","Laim",3835,2016,3257,7092
"1","Altstadt - Lehel",1850,2017,2301,4151
"2","Ludwigsvorstadt - Isarvorstadt",5253,2017,8490,13743
"3","Maxvorstadt",5216,2017,7070,12286
"4","Schwabing - West",5617,2017,6120,11737
"5","Au - Haidhausen",5114,2017,5568,10682
"6","Sendling",2939,2017,3526,6465
"7","Sendling - Westpark",3871,2017,4146,8017
"8","Schwanthalerhöhe",2275,2017,2994,5269
"9","Neuhausen - Nymphenburg",6848,2017,7923,14771
"10","Moosach",3854,2017,4069,7923
"11","Milbertshofen - Am Hart",6035,2017,7807,13842
"12","Schwabing - Freimann",7445,2017,11433,18878
"13","Bogenhausen",5009,2017,7174,12183
"14","Berg am Laim",2750,2017,3313,6063
"15","Trudering - Riem",3494,2017,5634,9128
"16","Ramersdorf - Perlach",6430,2017,7485,13915
"17","Obergiesing - Fasangarten",4033,2017,5284,9317
"18","Untergiesing - Harlaching",4562,2017,4520,9082
"19","Thalkirchen",6753,2017,7554,14307
"20","Hadern",3184,2017,3861,7045
