"Anfangsbezirk_Nr","Anfangsbezirk","Jahr","außerstaedtisch","insgesamt","selber_Bezirk","Nachbarbezirke","Restbezirke"
"6","Sendling",2018,2529,5588,475,850,1734
"7","Sendling - Westpark",2018,3352,7083,665,983,2083
"8","Schwanthalerhöhe",2018,2009,4271,387,714,1161
"9","Neuhausen - Nymphenburg",2018,6998,14149,1790,2128,3233
"10","Moosach",2018,3344,7126,863,970,1949
"11","Milbertshofen - Am Hart",2018,5771,11899,1326,1815,2987
"12","Schwabing - Freimann",2018,8767,15917,1897,1802,3451
"13","Bogenhausen",2018,5226,10256,1723,1015,2292
"14","Berg am Laim",2018,2453,5097,442,876,1326
"15","Trudering - Riem",2018,3938,7612,1129,782,1763
"16","Ramersdorf - Perlach",2018,5891,12290,1909,1277,3213
"17","Obergiesing - Fasangarten",2018,4568,8268,618,841,2241
"18","Untergiesing - Harlaching",2018,3251,6943,755,950,1987
"19","Thalkirchen",2018,6216,12576,1828,1017,3515
"20","Hadern",2018,3129,6034,632,707,1566
"21","Pasing - Obermenzing",2018,5064,9830,1216,1238,2312
"22","Aubing",2018,3528,6144,696,327,1593
"23","Allach - Untermenzing",2018,2407,4383,517,523,936
"24","Feldmoching - Hasenbergl",2018,3314,6813,863,607,2029
"25","Laim",2018,3326,7293,682,997,2288
"1","Altstadt - Lehel",2019,1584,3482,216,732,950
"2","Ludwigsvorstadt - Isarvorstadt",2019,4221,9490,733,1045,3491
"3","Maxvorstadt",2019,4181,9616,812,1708,2915
"4","Schwabing - West",2019,4237,10073,1070,1792,2974
"5","Au - Haidhausen",2019,3787,8758,886,1507,2578
"6","Sendling",2019,2448,5653,436,996,1773
"7","Sendling - Westpark",2019,3197,7121,721,1047,2156
"8","Schwanthalerhöhe",2019,2139,4456,360,747,1210
"9","Neuhausen - Nymphenburg",2019,6187,13702,1913,2196,3406
"10","Moosach",2019,3389,7343,788,1194,1972
"11","Milbertshofen - Am Hart",2019,5471,11683,1516,1753,2943
"12","Schwabing - Freimann",2019,7918,15047,1803,1870,3456
"13","Bogenhausen",2019,5144,10503,1770,1158,2431
"14","Berg am Laim",2019,2615,5403,464,875,1449
"15","Trudering - Riem",2019,4282,8425,1283,925,1935
"16","Ramersdorf - Perlach",2019,6199,12819,1957,1249,3414
"17","Obergiesing - Fasangarten",2019,3829,7661,601,855,2376
"18","Untergiesing - Harlaching",2019,3143,7241,858,1025,2215
"19","Thalkirchen",2019,6220,12808,2011,974,3603
"20","Hadern",2019,2929,5952,704,781,1538
"21","Pasing - Obermenzing",2019,4673,9472,1217,1241,2341
"22","Aubing",2019,3222,5995,679,402,1692
"23","Allach - Untermenzing",2019,2415,4585,611,518,1041
"24","Feldmoching - Hasenbergl",2019,3460,7206,983,715,2048
"25","Laim",2019,3070,7126,736,1127,2193
"1","Altstadt - Lehel",2020,1495,3256,224,648,889
"2","Ludwigsvorstadt - Isarvorstadt",2020,3732,9009,794,1145,3338
"3","Maxvorstadt",2020,4052,9642,861,1694,3035
"4","Schwabing - West",2020,4258,10308,1172,1814,3064
"5","Au - Haidhausen",2020,3466,8599,1074,1544,2515
"6","Sendling",2020,2384,5676,413,1039,1840
"7","Sendling - Westpark",2020,3064,7104,744,1159,2137
"8","Schwanthalerhöhe",2020,1637,3933,345,721,1230
"9","Neuhausen - Nymphenburg",2020,5700,13494,1975,2351,3468
"10","Moosach",2020,3351,7412,958,1182,1921
"11","Milbertshofen - Am Hart",2020,4880,10938,1318,1783,2957
"12","Schwabing - Freimann",2020,7896,17233,3861,1858,3618
"13","Bogenhausen",2020,4778,10335,2008,1086,2463
"14","Berg am Laim",2020,2362,5293,450,1038,1443
"15","Trudering - Riem",2020,4063,7788,1206,835,1684
"16","Ramersdorf - Perlach",2020,5691,12145,1842,1286,3326
"17","Obergiesing - Fasangarten",2020,3634,7684,654,929,2467
"18","Untergiesing - Harlaching",2020,2977,7060,897,1108,2078
"19","Thalkirchen",2020,5703,12291,2173,979,3436
"20","Hadern",2020,2731,5763,763,779,1490
"21","Pasing - Obermenzing",2020,4361,9188,1249,1261,2317
"22","Aubing",2020,3048,5691,751,299,1593
"23","Allach - Untermenzing",2020,2500,4480,497,513,970
"24","Feldmoching - Hasenbergl",2020,3096,6696,1028,608,1964
"25","Laim",2020,3062,7230,751,1210,2207
"1","Altstadt - Lehel",2021,1862,3910,275,791,982
"2","Ludwigsvorstadt - Isarvorstadt",2021,4610,10299,913,1225,3551
"3","Maxvorstadt",2021,4690,10890,940,2076,3184
"4","Schwabing - West",2021,4964,11594,1366,1986,3278
"5","Au - Haidhausen",2021,4401,10056,1162,1681,2812
"6","Sendling",2021,2804,6262,521,1151,1786
"7","Sendling - Westpark",2021,3627,7865,816,1216,2206
"8","Schwanthalerhöhe",2021,1926,4450,405,858,1261
"9","Neuhausen - Nymphenburg",2021,6200,14250,1962,2563,3525
"10","Moosach",2021,3519,8029,967,1355,2188
"11","Milbertshofen - Am Hart",2021,5770,12267,1365,1987,3145
"12","Schwabing - Freimann",2021,10494,23056,6265,2261,4036
"13","Bogenhausen",2021,5726,11606,2022,1162,2696
"14","Berg am Laim",2021,2926,6097,495,1136,1540
"15","Trudering - Riem",2021,4877,9169,1351,984,1957
"16","Ramersdorf - Perlach",2021,6757,13925,2144,1490,3534
"17","Obergiesing - Fasangarten",2021,4229,8461,722,953,2557
"18","Untergiesing - Harlaching",2021,3501,7530,967,1098,1964
"19","Thalkirchen",2021,6402,13124,2250,1104,3368
"20","Hadern",2021,2893,6181,903,867,1518
"21","Pasing - Obermenzing",2021,4967,10208,1475,1404,2362
"22","Aubing",2021,3080,5782,784,353,1565
"23","Allach - Untermenzing",2021,2118,4097,512,539,928
"24","Feldmoching - Hasenbergl",2021,3606,7511,1059,659,2187
"25","Laim",2021,3718,8462,852,1389,2503
"1","Altstadt - Lehel",2022,1747,3540,202,711,880
"2","Ludwigsvorstadt - Isarvorstadt",2022,5032,10712,793,1124,3763
"3","Maxvorstadt",2022,4809,10519,849,1713,3148
"4","Schwabing - West",2022,4778,10801,1094,1843,3086
"5","Au - Haidhausen",2022,4137,9431,1072,1494,2728
"6","Sendling",2022,2674,5684,402,917,1691
"7","Sendling - Westpark",2022,3554,7970,917,1142,2357
"8","Schwanthalerhöhe",2022,1738,4053,334,776,1205
"9","Neuhausen - Nymphenburg",2022,6314,13961,1854,2344,3449
"10","Moosach",2022,3563,8010,919,1343,2185
"11","Milbertshofen - Am Hart",2022,5784,12033,1378,1879,2992
"12","Schwabing - Freimann",2022,10841,24636,7400,2559,3836
"13","Bogenhausen",2022,6655,12549,1911,1212,2771
"14","Berg am Laim",2022,2944,6208,589,946,1729
"15","Trudering - Riem",2022,4949,9405,1306,882,2268
"16","Ramersdorf - Perlach",2022,6824,13774,2113,1369,3468
"17","Obergiesing - Fasangarten",2022,3800,7873,758,934,2381
"18","Untergiesing - Harlaching",2022,3275,7065,842,969,1979
"19","Thalkirchen",2022,6839,13908,2061,1152,3856
"20","Hadern",2022,2974,6119,854,804,1487
"21","Pasing - Obermenzing",2022,5185,10493,1527,1447,2334
"22","Aubing",2022,3705,6899,980,422,1792
"23","Allach - Untermenzing",2022,2258,4269,489,577,945
"24","Feldmoching - Hasenbergl",2022,3529,7188,1000,735,1924
"25","Laim",2022,3392,7741,833,1135,2381
"1","Altstadt - Lehel",2023,1829,3544,219,614,882
